X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0319554390246,38.9100250159937,22055215,1500 block of 14th St NW,2022/04/21 04:00:00+00,1102,2022/04/21 04:00:00+00,2022,4,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,804371,397228.65,138017.78,38.91001723,-77.03195314,,{0299A1D7-3287-4925-AACA-5FF5C94E6F6A},,,MPD,2024/02/16 21:02:52+00,5404,
-76.9392708693302,38.8809888190616,22059295,4700 block of Alabama Ave SE,2022/04/28 04:00:00+00,2200,2022/04/29 04:00:00+00,2022,4,6D,Ward 7,Sexual Orientation,,Simple Assault,801998,405269.48,134795.8,38.88098103,-76.93926861,,{6203F917-5EEC-446D-942C-FEB9869C04A4},,,MPD,2024/02/16 21:02:52+00,5405,
-77.0211706772438,38.9589553450045,22066418,5700 block of 6th St NW,2022/05/12 04:00:00+00,0130,2022/05/12 04:00:00+00,2022,5,4D,Ward 4,"Race; Sexual Orientation",White,Sex Abuse,802778,398165.29,143449.2,38.95894755,-77.02116838,,{452816D8-31A3-47F8-AB5A-89E0145C6AD7},,,MPD,2024/02/16 21:02:52+00,5406,
-77.018029229138,38.9203683932797,22070365,4th St NW and Bryant St NW,2022/05/19 04:00:00+00,1240,2022/05/19 04:00:00+00,2022,5,3D,Ward 1,Ethnicity/National Origin,Hispanic,Threats,904702,398436.7199965,139165.65001458,38.9203606,-77.01802694,,{E423B241-4217-459C-A766-0ECE8B3A0EE0},,,MPD,2024/02/16 21:02:52+00,5407,
-77.0308598274689,38.922436903355,19106665,1300 block of Clifton St NW,2019/06/19 04:00:00+00,0723,2019/06/19 04:00:00+00,2019,6,3D,Ward 1,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,800059,397324.14,139395.57,38.92242911,-77.03085753,,{B581C1B6-697F-4178-9B30-39F86EB87CBD},,,MPD,2024/02/16 21:02:52+00,5408,
-77.0020354493749,38.8827766535657,19113566,500 block of 3rd St SE,2019/06/29 04:00:00+00,1459,2019/06/29 04:00:00+00,2019,6,1D,Ward 6,Sex/Gender,Female,Threats,802007,399823.59266979,134992.5126987,38.88276887,-77.00203317,,{ADE09CD1-1FA7-47EC-9284-DE3DD495870D},,,MPD,2024/02/16 21:02:52+00,5409,
-76.9266771275059,38.8875654048253,19117988,5100 block of A St SE,2019/07/06 04:00:00+00,0530,2019/07/06 04:00:00+00,2019,7,6D,Ward 7,Gender Identity/Expression,,Threats,804127,406361.61405186,135526.6535632,38.88755762,-76.92667487,,{B76F5234-7363-43A9-A335-9AC4FAE14CF0},,,MPD,2024/02/16 21:02:52+00,5410,
-77.0224318167133,38.9008789812852,19133744,700 block of I St NW,2019/07/30 04:00:00+00,1306,2019/07/30 04:00:00+00,2019,7,1D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,807248,398054.4,137002.25,38.90087119,-77.02242953,,{6B8DCB58-3113-4AE9-9C5C-A3E892A8AA07},,,MPD,2024/02/16 21:02:52+00,5411,
-76.9510080106695,38.9017040466421,19152825,700 block of Anacostia Ave NE,2019/08/28 04:00:00+00,2113,2019/08/28 04:00:00+00,2019,8,6D,Ward 7,Ethnicity/National Origin,Latino/Hispanic,Threats,816725,404249.85,137094.74,38.90169626,-76.95100574,,{B972A6D8-6B7B-4D61-8889-44157250C8B4},,,MPD,2024/02/16 21:02:52+00,5412,
-77.0265524161594,38.9823953078415,19166404,7600 block of Georgia Ave NW,2019/09/10 04:00:00+00,1500,2019/09/18 04:00:00+00,2019,9,4D,Ward 4,Gender Identity/Expression,,Simple Assault,801442,397699.6,146051.38,38.9823875,-77.02655012,,{392B4107-8EEA-4358-8C1F-3D4D23745105},,,MPD,2024/02/16 21:02:52+00,5413,
